"Data_Zone","Intermediate_Zone","Council_area","Total_population","Working_age_population","Income_rate","Income_count","Employment_rate","Employment_count","CIF","ALCOHOL","DRUG","SMR","DEPRESS","LBWT","EMERG","Attendance","Attainment","no_qualifications","not_participating","University","drive_petrol","drive_GP","drive_post","drive_primary","drive_retail","drive_secondary","PT_GP","PT_post","PT_retail","Broadband","crime_count","crime_rate","overcrowded_count","nocentralheat_count","overcrowded_rate","nocentralheat_rate"
"S01010241","Alexandra Parade","Glasgow City",1112,847,0.17,187,0.1,88,145,200.3111872,127.1222585,159.8712563,0.209424084,0.09375,142.7690692,0.68817,5.5,127.4168399,0.02,0.08,3.563932777,2.461587341,2.912519627,2.858323353,3.886962709,3.463221154,6.073189401,7.355605986,8.754965653,0,47.2226506555029,424.664124599846,180,56,0.183673469,0.057142857
"S01010130","Barlanark","Glasgow City",408,249,0.25,104,0.18,44,195,360.0574655,166.0437092,144.1955743,0.271604938,0.133333333,194.1225196,0.66372,4.5,223.2308396,0.054545455,0.033898,4.247668269,3.40484976,1.43109375,1.818047619,5.070739183,5.230064103,12.76436298,6.675919471,14.18427284,0,16.0757959678308,394.014607054676,85,2,0.204326923,0.004807692
"S01010120","North Barlanark and Easterhouse South","Glasgow City",1019,724,0.4,410,0.24,169,255,232.9455502,55.23421161,142.9889273,0.301314459,0.019607843,196.477958,0.60933,4.5714285714,284.9485102,0.098039216,0.040441,3.07611244,3.543598086,2.95422488,2.037370242,3.723279904,5.314017467,13.74217225,8.596330144,13.93483732,0,41.1942271675664,404.261306845597,257,16,0.245933014,0.015311005
"S01010025","Gorbals and Hutchesontown","Glasgow City",550,368,0.31,171,0.28,102,225,275.3667538,374.7307251,172.833369,0.238970588,0.108695652,135.8790292,0.77686,5,201.3710589,0.066666667,0.195652,4.438462591,2.005456204,2.357919708,2.768645161,3.138991788,4.203384615,6.442810219,8.903581204,8.57,0.01242236,38.1800154235981,694.182098610875,127,35,0.237827715,0.065543071
"S01009943","Carnwadric West","Glasgow City",896,609,0.38,336,0.26,158,255,176.1132084,192.4931853,165.8158132,0.351648352,0.052631579,158.3657346,0.70667,5.0227272727,230.0616901,0.0625,0.061224,2.182714031,1.192330559,1.57332937,1.911694215,1.521545779,4.398769634,4.19755648,5.214078478,4.657128419,0,82.3884543351328,919.513999276035,212,15,0.252080856,0.01783591
"S01010244","Carntyne West and Haghill","Glasgow City",659,472,0.26,172,0.17,80,170,152.6155523,126.5678958,117.8006806,0.1996997,0.111111111,109.3606146,0.75221,4.9230769231,230.4748349,0.016666667,0.099174,3.340251701,1.513734694,2.198380952,2.256733068,1.577653061,3.495902256,3.942673469,4.283346939,3.874360544,0,54.2558113914289,823.305180446569,264,51,0.359183673,0.069387755
"S01009827","Penilee","Glasgow City",845,528,0.22,190,0.18,94,185,226.2395282,149.8182928,115.6976515,0.256936068,0.054054054,137.8712514,0.73408,4.7,194.2778124,0.04516129,0.045161,3.439953162,3.420319087,3.91860363,2.55679078,4.927262881,4.188514851,9.925392272,12.36166862,12.7056411,0,21.0994822077779,249.69801429323,174,16,0.203747073,0.018735363
"S01010282","Finnieston and Kelvinhaugh","Glasgow City",1006,852,0.22,226,0.15,129,175,310.2478244,166.9778184,170.0017618,0.213307241,0.03030303,106.7948237,0.79012,5.2857142857,109.9779038,0.022222222,0.035211,3.986360143,2.190791496,2.198406762,4.301077844,3.011393443,4.724266055,4.086757172,5.244203381,6.820699283,0.001283697,22.1042194557673,219.723851448979,323,54,0.330942623,0.055327869
"S01010369","North Kelvin","Glasgow City",770,617,0.12,93,0.1,60,110,114.8583845,40.74155076,104.111609,0.159533074,0,98.37389572,0.84884,5.8571428571,66.44508376,0,0.106195,2.794634941,2.577503259,2.799749022,1.147865169,4.11547914,4.079797297,8.889713168,8.802884615,9.695749674,0,23.1089567037567,300.11632082801,111,56,0.144719687,0.073011734
"S01009895","Govanhill East and Aikenhead","Glasgow City",761,524,0.31,239,0.25,128,220,247.3830103,198.2340161,132.9617199,0.280160858,0.160714286,140.8511617,0.62821,4.1333333333,173.4548039,0.077922078,0.036364,2.629447514,2.020024171,2.030587017,1.66819209,3.597185773,2.932216495,6.513549724,6.218501381,8.795410912,0,43.2037016635452,567.722755105719,235,40,0.327754533,0.055788006
